NAME,ID,Total_Amount,,
Darlleen,6.25E+16,8203,,
Cassandra,6.63E+16,5516,,
Grier,4.61E+16,4040,,
Misha,5.00E+16,4729,,
Meriel,6.40E+16,2626,,
Elena,5.38E+16,1197,,
Zaria,4.09E+16,5713,,
Mureil,5.35E+16,8194,,
Brana,6.55E+16,7984,,
Alyda,5.64E+16,1714,,
Jenilee,5.56E+16,9569,,
Merle,6.26E+16,9183,,
Jaclyn,4.82E+16,5381,,
Lila,4.36E+16,9830,,
Viki,6.17E+16,1727,,
Aubrie,4.09E+16,5639,,
Andeee,6.16E+16,8803,,
Kathy,5.24E+16,2586,,
Vonny,6.05E+16,4905,,
Emelina,6.10E+16,5890,,
Carol-Jean,5.58E+16,8320,,
Eadie,5.23E+16,5338,,
Chloris,4.89E+16,2543,,
Kathi,6.96E+16,4914,,
Norine,6.94E+16,7584,,
Dulce,4.93E+16,1188,,
Sheree,5.79E+16,9331,,
Wendi,4.88E+16,6524,,
Anallese,6.73E+16,2319,,
Sam,5.26E+16,7752,,
Carly,4.36E+16,5214,,
Jan,5.84E+16,9165,,
Winifred,5.99E+16,4464,,
Kirbee,5.45E+16,6712,,
Vivia,5.02E+16,8865,,
Nannie,4.63E+16,2387,,
Nanete,5.35E+16,6710,,
Chere,4.69E+16,9551,,
Cam,5.56E+16,6358,,
Coral,5.83E+16,7549,,
Celisse,4.23E+16,5063,,
Florencia,4.12E+16,4066,,
Tersina,4.32E+16,6802,,
Elka,6.18E+16,6447,,
Marita,4.33E+16,7386,,
Danny,5.11E+16,5372,,
Cherilyn,4.37E+16,5795,,
Renae,6.90E+16,4890,,
Cassondra,4.27E+16,1412,,
Di,5.06E+16,5189,,
Claresta,4.72E+16,9774,,
Zia,5.92E+16,1215,,
Arlina,4.91E+16,2525,,
Cam,4.23E+16,2000,,
Shauna,6.54E+16,6972,,
Caressa,5.97E+16,4321,,
Bibby,6.67E+16,9139,,
Adele,6.01E+16,1112,,
Donnie,4.16E+16,6465,,
Adriana,4.92E+16,7521,,
Cherrita,5.89E+16,9193,,
Mara,4.05E+16,6490,,
Roz,5.55E+16,4360,,
Averyl,5.66E+16,4287,,
Brianna,5.21E+16,3921,,
Elbertina,4.32E+16,3036,,
Nerta,6.76E+16,8090,,
Teddie,4.34E+16,3443,,
Amelia,5.16E+16,2691,,
Lory,6.43E+16,8842,,
Gerianna,5.13E+16,9150,,
Ellette,5.40E+16,6034,,
Brooks,5.34E+16,4328,,
Berget,4.62E+16,6527,,
Elmira,5.28E+16,8874,,
Chickie,5.31E+16,9547,,
Candy,6.61E+16,1565,,
Tina,5.66E+16,6078,,
Gerrie,5.22E+16,3495,,
Ericka,6.99E+16,3645,,
Kathy,4.86E+16,6664,,
Gianina,5.74E+16,8004,,
Ana,4.61E+16,8752,,
Charlena,4.59E+16,9165,,
Krystle,5.31E+16,1395,,
Joceline,4.18E+16,8366,,
Nyssa,6.67E+16,9777,,
Cyb,4.90E+16,8465,,
Clo,5.10E+16,8518,,
Perry,6.69E+16,2937,,
Leeanne,4.63E+16,1658,,
Belva,4.09E+16,4603,,
Elsie,5.95E+16,7256,,
Pollyanna,6.13E+16,4822,,
Penelopa,5.46E+16,1292,,
Patricia,6.57E+16,2307,,
Veda,5.50E+16,3063,,
Myriam,4.01E+16,8157,,
Alie,5.43E+16,3183,,
Kristan,4.09E+16,4420,,
Edee,4.73E+16,8070,,
Ethel,5.65E+16,1403,,
Hope,4.36E+16,9395,,
Marcelline,6.96E+16,6403,,
Kalina,6.32E+16,8047,,
Cyb,4.80E+16,6010,,
Barbara,5.29E+16,3583,,
Pollyanna,4.47E+16,4491,,
Celestyna,5.27E+16,4363,,
Chandra,6.04E+16,7818,,
Nadine,5.14E+16,8661,,
Dotty,5.23E+16,4332,,
Fredericka,6.38E+16,1751,,
Sissy,5.19E+16,7211,,
Latisha,4.64E+16,6198,,
Clementine,5.13E+16,5641,,
