NAME,ID,Total_Amount
Elvira,4.63E+16,1125
Dagmar,5.61E+16,2157
Cristine,4.67E+16,9010
Ronna,4.41E+16,3927
Vivia,4.32E+16,1234
Aigneis,5.66E+16,6125
Janey,6.96E+16,7343
Vivia,5.05E+16,2970
Wilma,6.10E+16,1964
Dawn,6.59E+16,6786
Shaylyn,5.52E+16,6931
Cristine,5.86E+16,9490
Genevra,4.37E+16,2836
Hannis,5.39E+16,1377
Kirstin,4.92E+16,8272
Arlena,4.80E+16,8683
Fanchon,6.34E+16,3264
Orsola,6.13E+16,9821
Mildrid,4.74E+16,9628
Tressa,6.90E+16,6761
Dulcinea,6.95E+16,4453
Paule,5.35E+16,9850
Elie,6.14E+16,7597
Justinn,4.60E+16,1540
Raf,6.33E+16,9762
Elvira,5.71E+16,8456
Cassandra,5.25E+16,7331
Jacenta,6.95E+16,2827
Kelly,4.51E+16,6700
Antonietta,5.71E+16,1772
Jackie,5.61E+16,6591
Aubrie,4.91E+16,1367
Kary,4.04E+16,5349
Melodie,6.43E+16,9752
Lexine,5.60E+16,7947
Loree,5.08E+16,7146
Danny,6.02E+16,2696
Sara-Ann,4.32E+16,9248
Annecorinne,4.43E+16,9018
Stacey,6.82E+16,9938
Joeann,4.09E+16,7663
Diena,5.81E+16,9598
Magdalena,4.29E+16,4588
Meghann,5.32E+16,1665
Marita,6.72E+16,3901
Devina,4.09E+16,6064
Mignon,4.68E+16,5727
Benita,4.70E+16,9255
Carmela,5.03E+16,1902
Lucille,6.47E+16,9559
Paule,4.14E+16,6896
Nita,6.28E+16,4428
Nita,6.09E+16,1381
Lisette,5.61E+16,6508
Chloris,6.60E+16,1865
Marinna,5.13E+16,4473
Celestyna,6.46E+16,2113
Jordan,6.03E+16,5718
Elyssa,5.27E+16,5273
Hildegaard,4.20E+16,7931
Vere,4.42E+16,7606
Esmeralda,6.29E+16,3053
Brianna,4.04E+16,7710
Laure,5.47E+16,8347
Desirae,4.91E+16,8026
Cindelyn,5.91E+16,3389
Thalia,4.35E+16,8109
Liana,6.02E+16,7749
Lorenza,6.65E+16,6747
Ebonee,4.28E+16,5690
Sophia,4.73E+16,6994
Perry,4.95E+16,3582
Amalie,6.65E+16,6258
Sharai,5.48E+16,8405
Heddie,6.13E+16,4982
Collen,5.73E+16,8993
Dulcinea,6.98E+16,8548
Yvonne,5.12E+16,5590
Dorice,6.22E+16,5854
Taffy,6.47E+16,9751
Pollyanna,6.49E+16,8800
Audrie,5.32E+16,8806
Clarice,6.15E+16,9873
Heddie,5.26E+16,4461
Goldie,4.62E+16,4622
Lolita,6.76E+16,5718
Nessie,6.70E+16,4227
Kimmy,4.17E+16,9123
Carly,4.70E+16,8119
Korrie,4.75E+16,1618
Cassandra,5.65E+16,9565
Loree,4.91E+16,2945
Sheree,5.71E+16,4507
Zaria,6.14E+16,9488
Calla,4.96E+16,3329
Kary,4.55E+16,2891
Karena,5.98E+16,5912
Rosene,4.81E+16,9741
Max,6.37E+16,4878
Wileen,4.49E+16,9321
Etta,5.61E+16,8954
Yetty,6.94E+16,3785
Emelina,6.60E+16,4172
Tonia,4.27E+16,6277
Reeba,6.99E+16,6083
Livvyy,6.14E+16,3090
Carmela,4.60E+16,5128
Doralynne,4.22E+16,5121
Catrina,4.05E+16,1114
Correy,5.47E+16,5318
Talya,4.31E+16,3916
Gisela,6.28E+16,9613
Selia,4.97E+16,6792
Elbertina,6.40E+16,4100
Perry,4.67E+16,2645
Arlina,6.14E+16,8131
Modestia,4.78E+16,6499
Miquela,6.69E+16,5255
Ardeen,5.29E+16,6643
Elora,6.48E+16,8485
Selma,6.07E+16,2955
Binny,6.16E+16,4373
