NAME|ID|Total_Amount
Nicole Y. Bowers|4359081098890008|5949
Jamal P. Chen|6082898568795278|5760
Castor Y. Guthrie|4567836028121529|3239
Sean K. Palmer|5759254149825232|6514
Hiroko H. Lawrence|5486285544378720|4403
Vaughan O. Barker|6163787276927134|9268
Kevin Lee|5686340100541486|9713
Courtney Richmond|4324756889998861|9270
Iris Doyle|6852712997338661|2526
Lara Forbes|5363170333537353|6558
Maya C. Stein|6667076690900363|8997
Darius Tanner|6907665372608176|2577
Clark Lawson|4075789802292244|1647
Howard L. Hurley|6654669725779679|3391
Inez A. Berger|4715645010345088|4508
Griffin Cohen|4888899912986779|2478
Xyla Bartlett|4738584545240494|7943
Anne C. Hoover|6944184235335324|1193
Colby Alston|6916649271251173|1921
Morgan G. Benson|5719864536577131|7090
Dale T. Delgado|6809293108787195|7527
Yuli Thomas|4751887458823957|4574
Colorado Battle|4549785628742773|2823
Alana L. Lowery|4499250734218940|4103
Francesca French|4130215585462633|3629
Acton C. Combs|5393382900148733|3041
Jonas I. Welch|6684423290280750|3157
Sacha Patterson|5160002576608224|3731
Reece R. Quinn|4549155627358823|8863
Palmer H. Parrish|6163516524608619|5367
Zelenia W. Dalton|4829870383081031|3156
Alvin Guy|6305149161180586|6090
Ignatius M. Cortez|5466665105764537|4382
Ingrid U. Valentine|6253957886406833|1592
Buckminster Gamble|5079954535097265|5773
Thor Page|5789415508257589|3945
Tanisha C. Moran|6027738624377789|3498
Jaquelyn Garrison|6189474312972657|9918
Adena F. Case|4555736982334729|6260
