NAME|ID|Total_Amount
Sheree|6393930066438667|3717
Quintina|5618834031666974|4657
Romona|5213766045430574|7313
Dorthy|4198614683070967|7444
Leanna|6022686917343515|7854
Shaine|4606548373880656|2789
Alexine|4656626956861409|7857
Nataline|6341670296329215|5316
Angelique|4391550780009387|8125
Ivett|4443584300680368|2635
Sue|5367971550356366|7807
Konstance|4868653812220580|6831
Celisse|6015588925631136|9480
Rani|5088763493205653|7513
Jemie|4953577724192655|8790
Rochette|5399846135957771|5004
Lauryn|5303094581303149|3169
Sissy|4182103339183756|1486
Britte|6358681277537526|3016
Emylee|6227977927956798|4005
Elka|5892350547598064|2493
Winifred|5978465853702685|9472
Quintina|5497797103241333|8129
Sandie|6194194917234161|6449
Rayna|6278949809974632|2959
Chandra|6486428784985625|6129
Concettina|6023677721516020|6641
Ariela|5978578367645281|3624
Amara|5958919489862564|2766
Tressa|5628630979979614|2444
Augustine|4281403016310348|5822
Selma|6914380199086279|6147
Mariann|6474828453729945|2057
Ardenia|5262189770613969|4657
Karolina|5554693242743161|3416
Isa|6079854072251768|9329
Anica|5678984317679488|7716
Ebonee|5368711062534580|8392
Brooks|5436969357172687|2935
Mahalia|5974677762661272|8689
Brana|4610941342026347|4601
Frank|5806221942164425|3805
Alleen|6089448675776513|7961
Noelle|6379881073569094|3285
Eadie|4351773884005454|3689
Lesly|4897966957470828|5455
Genevra|6409451179620816|9630
Tressa|4595099642541113|2613
Tera|4854221176666388|1918
Dianemarie|4602459705928012|4445
Jorry|5277164778424506|8103
Ofilia|6311536976488041|5772
Leona|5577496742727706|7114
Kathy|6455053792727365|3823
Gale|5250315432419749|2352
Roz|5006927608589291|1129
Lexine|6984344623217397|5431
Kristan|5319212897612521|3928
Hildegaard|4791825073722410|8589
Georgetta|6253146929202028|9793
Celisse|6643986895706503|8778
Fred|5606195522903156|7432
Zondra|4078235498362630|5142
Moyna|6210638921127566|2198
Doralynne|6914377656946596|2155
Valera|6649808365449829|4132
Almeta|6818498359023665|2194
Jillayne|5284974526283863|9220
Gavrielle|4678643833951502|2541
Augustine|4008681860492049|6666
Cyb|5829502942488656|6090
Meghann|4411964419081349|2974
Karlee|6482570191768016|8929
Gabi|5125529603514276|3127
Wynne|6417917390413774|9792
Marnia|4533098153867064|1207
Patricia|5318025257337079|2447
Cathie|4120502017328185|3689
Janis|5947971669850535|5482
Hyacinthe|4155509830164815|3233
Jenda|6377117952543751|3001
Meghann|6720026869273614|5368
Corene|5295646847251013|8254
Tonia|4317199877626465|8356
Reeba|6317197478096498|5990
Dennie|5178002121153828|8411
Daryl|6684457587449978|4073
Ana|4525196361916665|3512
Ofilia|4795493038947037|8276
Margette|6769516543397041|7623
Joceline|6231146749581853|5106
Suzette|4223729332908266|2791
Asia|4689832012658858|8138
Nananne|4760349111883798|4312
Jere|4156741952851951|9604
Melodie|4240641830744222|3451
Lynde|6870454336877518|2826
Genovera|4552218734488036|4764
Cordi|5350768016433387|7130
Blinni|5629879720668832|9701
Raina|6642281239405841|2874
Kristan|4997486690811849|8486
Lindie|4752360364985315|9926
Rebeca|5383510717344350|2356
Gretal|5899001454862265|2635
Edyth|5878675254775269|6546
Madeleine|5493858912687641|3474
Edyth|5796774827641267|6467
Ericka|4968322023259026|7808
Eugine|6093428432122622|3426
Lelah|4302552388143285|8501
Yolane|4661229637265720|8925
Chrystel|4911395533917695|6684
Gilligan|6821719723421350|9004
Inga|4321263748409285|3998
Rozele|5015559519548058|8537
Wendi|5078990259390455|7362
Arabel|6352765594556166|1476
Rayna|6481957812897945|4312
Trixi|4108588209994628|9657
Shell|6154021491962468|5142
Kirbee|4667661819490923|7386
Catrina|4811755132209766|4977
Mellicent|4797994206119726|5877
Anthia|5911103685842564|3451
Blake|4636114952952555|1077
Bill|5629642458334058|7273
Antonietta|5363443317759992|8666
Constance|6500835257169336|4476
Stevana|4453176965323329|6430
Doralynne|5818100434526941|5074
Roberta|4783299766769461|1609
Emilia|5932843045985128|7038
Goldie|5865078460722761|9452
Max|5645365286315554|6036
Tybie|5122633982988388|3470
Monika|4630059046476560|6061
Evita|6872594405729550|3209
Agnese|5593276403706329|3761
Camile|5856070028549109|9689
Nananne|5130241453364056|7994
Ellette|6089564971636990|2752
Bernardine|6530662409067068|6520
Alisha|6035537797068624|7670
Fayre|6199226266818388|2011
Kate|4816708260572096|4569
Cassondra|5402634462984153|6134
Veda|5963567530668546|5358
Janey|6796332691271901|1115
Deloria|4569595504057483|5438
Barbi|6060944599700782|7332
Orelia|5098677938979285|5146
Phedra|5719055357633151|8850
Kaia|5480223587542346|7620
Randa|6571288820778500|3518
Valera|5665047849749044|5786
Adore|5921731649258217|9781
Janeczka|6460124008460626|7605
Kimmy|6388273785464694|4376
Sibella|5065459912387496|6608
Natka|4831299328774635|1674
Hollie|5430032645434513|1900
Angela|6347874119613335|8003
Gusella|4391757924132729|2845
Genevra|5503954592377856|2933
Jessy|5535371464023758|2401
Mahalia|4930546215209662|7603
Jan|6090429482667886|9074
Maisey|5575052417559753|7962
Jenilee|6784559372199455|7052
Kimmy|5582310786775318|2764
Jessamyn|5648206983249786|4120
