NAME|ID|Total_Amount
Amara|6635890839882432|5582
Melisent|6174973797791639|9101
Gwyneth|6241299345860589|3974
Hermione|6831335842696944|8177
Willetta|6981923980223308|8446
Mallory|6985327437904338|7749
Katuscha|6650711597630205|5347
Amara|6193636344058365|1378
Kenna|5451875166771024|7882
Nataline|6340262673563153|6252
Berta|5476266367743032|3534
Nanete|5618757306869695|6774
Georgina|6867231085317980|7155
Marika|5365722336197742|8866
Sharai|4822884014124103|8496
Coral|6702849879797378|5086
Yetty|5555058259394174|1371
Almeta|4647030427404426|6450
Jere|6456978277633667|1489
Vonny|5542074008570314|8326
Britte|6224914296375585|5498
Barbi|6556081082010886|6448
Cassandra|6950771197606223|2327
Kaia|6556128196368345|2410
Dianemarie|6128800579167320|5267
Fanny|4271606639164319|9384
Phylis|4529588959821463|3662
Catrina|4444943880471250|9136
Olivette|4335785833570687|8314
Selma|5597560880743169|1260
Melodie|6288870729559106|9233
Christy|4322237644520463|8600
Selma|5258397135533998|3953
Tina|4979920008164173|7444
Harmonia|5302737369703835|4568
Feliza|5243737933515462|2891
Jasmina|4468427565636657|5095
Marcelline|6632125819825362|3698
Ninnetta|4159822289681343|7021
Lily|5884969793902184|5864
Elka|4394171706735386|2379
Ekaterina|5521996228297946|9714
Jillayne|5588079829858088|1384
Bill|6031811853143440|2849
Juliane|5545014335654091|8696
Zsa Zsa|6936622216727173|7805
Etta|6827313807284406|2878
Kate|5236912786935468|1752
Rhea|4060067448066501|3688
Layla|6265177049243812|5825
Doralynne|6254120947103600|6565
Tobe|6051623376501220|3432
Marnia|4570747562988502|8128
Janey|6874863961499006|6241
Ayn|5400048725000823|6677
Jacenta|5168322577036084|7904
Orelia|4912342419779202|9392
Susette|6286248362616068|1065
Elka|5955288158618657|9459
Myrtice|4372413751431419|4021
Stevana|5126490902773224|2776
Dolli|5778502676184003|3435
Carmencita|6071134517065697|5786
Lorne|5319093708719667|5073
Roz|5479014335973933|3432
Yetty|4468558534005134|2241
Libbie|6927344055238983|8268
Lorne|6769122068203488|8637
Lenna|6417847476083804|1028
Kathy|6283454758387128|8293
Randa|6824765899844650|8939
Hayley|4672437565311393|3795
Norine|5386418059990858|8777
Shandie|6377495330534955|1349
Lacie|5067652854127067|9046
Sallie|6034349884235929|1612
Angela|5947948478087210|5630
Jemie|4530570924717391|3620
Consuela|6681687804335085|1682
Deirdre|5779899517992203|3415
Maisey|6784911535094585|1102
Courtnay|6116107185174056|5723
Maisey|4001669094843970|6794
Maye|6824021302605830|7071
Esmeralda|5668210432340618|4731
Collen|6521545603456120|7966
Shaine|6243971701111253|3087
Audrie|5579276324521737|9298
Cyndie|4265822927901907|8434
Karlee|6236359678663587|8001
Shel|6139531098835264|2567
Daphne|5302155618843310|6913
Ida|6506469628356635|4154
Dulcinea|4471868391735387|1820
Emilia|5450235087709323|1472
Betta|4894954215134059|8838
Anallese|4411892870395411|7969
Perry|4974276078078210|2317
Lulita|5809981506367478|4351
Elsie|4807286364051448|4358
Dode|4796050438048241|9536
Pamella|4969455984102096|5970
Karlee|5229645985741553|4609
Sue|6299075588828665|3896
Annice|6159231893448090|1029
Randa|6913026052727221|8719
Johna|5917079199821830|6550
Orelia|5580986571477806|5606
