NAME,ID,Total_Amount
Elvira,4.63255E+16,1125
Dagmar,5.61271E+16,2157
Cristine,4.66686E+16,9010
Ronna,4.414E+16,3927
Vivia,4.32093E+16,1234
Aigneis,5.65825E+16,6125
Janey,6.95828E+16,7343
Vivia,5.05426E+16,2970
Wilma,6.10201E+16,1964
Dawn,6.5915E+16,6786
Shaylyn,5.52358E+16,6931
Cristine,5.86438E+16,9490
Genevra,4.36548E+16,2836
Hannis,5.39001E+16,1377
Kirstin,4.92475E+16,8272
Arlena,4.80439E+16,8683
Fanchon,6.33618E+16,3264
Orsola,6.13313E+16,9821
Mildrid,4.73922E+16,9628
Tressa,6.89864E+16,6761
Dulcinea,6.95323E+16,4453
Paule,5.35322E+16,9850
Elie,6.13628E+16,7597
Justinn,4.59714E+16,1540
Raf,6.32584E+16,9762
Elvira,5.71138E+16,8456
Cassandra,5.2505E+16,7331
Jacenta,6.95265E+16,2827
Kelly,4.5073E+16,6700
Antonietta,5.70634E+16,1772
Jackie,5.61385E+16,6591
Aubrie,4.91076E+16,1367
Kary,4.04228E+16,5349
Melodie,6.43098E+16,9752
Lexine,5.60178E+16,7947
Loree,5.07529E+16,7146
Danny,6.01996E+16,2696
Sara-Ann,4.31653E+16,9248
Annecorinne,4.42617E+16,9018
Stacey,6.82478E+16,9938
Joeann,4.0917E+16,7663
Diena,5.80782E+16,9598
Magdalena,4.28798E+16,4588
Meghann,5.32119E+16,1665
Marita,6.71943E+16,3901
Devina,4.08615E+16,6064
Mignon,4.68456E+16,5727
Benita,4.70259E+16,9255
Carmela,5.03413E+16,1902
Lucille,6.46711E+16,9559
Paule,4.13886E+16,6896
Nita,6.28016E+16,4428
Nita,6.08999E+16,1381
Lisette,5.60809E+16,6508
Chloris,6.60258E+16,1865
Marinna,5.12814E+16,4473
Celestyna,6.46468E+16,2113
Jordan,6.0259E+16,5718
Elyssa,5.27291E+16,5273
Hildegaard,4.19792E+16,7931
Vere,4.42434E+16,7606
Esmeralda,6.29334E+16,3053
Brianna,4.04301E+16,7710
Laure,5.46945E+16,8347
Desirae,4.90854E+16,8026
Cindelyn,5.90522E+16,3389
Thalia,4.35326E+16,8109
Liana,6.01517E+16,7749
Lorenza,6.65268E+16,6747
Ebonee,4.27816E+16,5690
Sophia,4.73438E+16,6994
Perry,4.95375E+16,3582
Amalie,6.64525E+16,6258
Sharai,5.4803E+16,8405
Heddie,6.12618E+16,4982
Collen,5.72538E+16,8993
Dulcinea,6.98018E+16,8548
Yvonne,5.11513E+16,5590
Dorice,6.22216E+16,5854
Taffy,6.46659E+16,9751
Pollyanna,6.49434E+16,8800
Audrie,5.32433E+16,8806
Clarice,6.15025E+16,9873
Heddie,5.26436E+16,4461
Goldie,4.61634E+16,4622
Lolita,6.75999E+16,5718
Nessie,6.70141E+16,4227
Kimmy,4.17119E+16,9123
Carly,4.69697E+16,8119
Korrie,4.75248E+16,1618
Cassandra,5.64926E+16,9565
Loree,4.91346E+16,2945
Sheree,5.70776E+16,4507
Zaria,6.13971E+16,9488
Calla,4.95539E+16,3329
Kary,4.55002E+16,2891
Karena,5.97617E+16,5912
Rosene,4.81137E+16,9741
Max,6.36546E+16,4878
Wileen,4.49172E+16,9321
Etta,5.61203E+16,8954
Yetty,6.94446E+16,3785
Emelina,6.59525E+16,4172
Tonia,4.27179E+16,6277
Reeba,6.98948E+16,6083
Livvyy,6.1398E+16,3090
Carmela,4.60476E+16,5128
Doralynne,4.21761E+16,5121
Catrina,4.05183E+16,1114
Correy,5.46545E+16,5318
Talya,4.3089E+16,3916
Gisela,6.28427E+16,9613
Selia,4.97092E+16,6792
Elbertina,6.39962E+16,4100
Perry,4.66724E+16,2645
Arlina,6.13765E+16,8131
Modestia,4.77669E+16,6499
Miquela,6.69015E+16,5255
Ardeen,5.28586E+16,6643
Elora,6.48438E+16,8485
Selma,6.06783E+16,2955
Binny,6.15911E+16,4373
Fanchon,5.51794E+16,2973
Jasmina,6.74879E+16,4600
Mignon,5.04641E+16,3345
Noelle,4.82583E+16,7137
Hyacinthe,4.5715E+16,6512
Keelia,6.94296E+16,8799
Juliane,4.80795E+16,4204
Monika,5.92179E+16,2131
Claudina,5.17107E+16,2777
Mahalia,6.9169E+16,2820
Roslyn,5.07705E+16,9368
Daryl,5.60022E+16,4290
Elbertina,4.6378E+16,9431
Christal,4.57751E+16,9154
Clo,4.8625E+16,7679
Fidelia,6.27527E+16,2945
Alleen,5.02066E+16,7486
Binny,4.01542E+16,8650
Renae,4.48387E+16,5864
Magdalena,5.85992E+16,7065
Hermione,5.64848E+16,7585
Benita,4.7621E+16,5481
Kaia,5.33667E+16,3942
Annice,6.98259E+16,8767
Dorene,6.6191E+16,7661
